"domain","source_code","target_code","target_label","target_external_id","review_status"
"object_type","HOT","HOT","Hôtellerie","25EB2EC5-507B-40A9-A799-2716A0536792","approved"
"object_type","HLO","HLO","Hébergement locatifs","55782D99-B37E-4933-90AD-B79401000C1D","approved"
"object_type","CAMP","CAM","Camping","EECC37A2-050A-45EB-B288-9D288EC3316F","approved"
"language","fr","FR","Français","","approved"
"language","en","AN","Anglais","","approved"
"language","rcf","CRE","Créole","","approved"
"language","de","AL","Allemand","","approved"
"language","es","ES","Espagnol","","approved"
"language","it","IT","Italien","","approved"
"language","pt","PO","Portugais","","approved"
"contact_kind","phone","C1","Tél. fixe","","approved"
"contact_kind","fax","C2","Télécopieur /fax","","approved"
"contact_kind","email","C4","Mail","","approved"
"contact_kind","website","C5","Site web (url)","","approved"
"contact_kind","mobile","C6","Tél. mobile","","approved"
"social_network","facebook","FACE","Facebook","","approved"
"social_network","instagram","INSTA","Instagram","","approved"
"payment_method","especes","ES","Espèces","","approved"
"payment_method","cheque","CHQ","Chèques bancaires","","approved"
"payment_method","virement","Virement","Virement bancaire","","approved"
"payment_method","carte_bleue","CB","Cartes bancaires","","approved"
"payment_method","cheque_vacances","VAC","Chèques vacances","","approved"
"payment_method","paypal","PAYPAL","Paypal","","approved"
"payment_method","american_express","AEX","American express","","approved"
"capacity_metric","max_capacity","Capacitetotalenombredepersonnes","Capacité totale en nombre de personnes","","approved"
"capacity_metric","beds","Nombredelits","Nombre de lits","","approved"
"capacity_metric","bedrooms","Nombretotaldechambres","Nombre total de chambres","","approved"
"capacity_metric","meeting_rooms","Salledereunion","Salle de réunion","","approved"
"capacity_metric","floor_area_m2","Surfacedelhabitation","Surface de l’habitation","","approved"
"capacity_metric","pitches","Nombredeproduits","Nombre de produits/emplacements camping","","approved"
