fixture_id,object_type,scenario,required_workspace_modules,required_payload_keys,primary_risk,verification_target
hot_full_surface,HOT,Accommodation with all common modules,generalInfo;taxonomy;location;descriptions;media;contacts;characteristics;distinctions;capacityPolicies;pricing;openings;providerFollowUp;relationships;memberships;legal,id;type;name;address;location;descriptions;media;contacts;languages;prices;opening_periods;legal_records,Drawer becomes too dense or fields overlap,ObjectWorkspaceShell desktop and mobile screenshot
hlo_sparse_import,HLO,Old imported lodging with sparse satellite data,generalInfo;location;descriptions;contacts;pricing,id;type;name;address;description;contacts;prices,Missing optional blocks should not look broken,Parser unit test and drawer smoke test
res_with_menu_gap,RES,Restaurant with pricing and future menu editor,generalInfo;taxonomy;location;descriptions;media;contacts;pricing;openings,id;type;name;prices;opening_periods;menus,Menu data exists in schema but no workspace section yet,Gap remains explicit until conditional menu panel lands
iti_track_editor,ITI,Itinerary with track stages and practices,generalInfo;taxonomy;location;descriptions;media;openings;relationships,id;type;name;itinerary;track;stages;practices,ITI workspace gap for geometry/practices editing,Future Storybook state plus map interaction test
act_review_mapped,ACT,Provisional activity from old-data review mapping,generalInfo;taxonomy;location;descriptions;contacts;pricing;relationships,id;type;name;object_act;relations,ACT-specific object_act fields are not surfaced,Parser fixture proves data is preserved until panel exists
org_publisher,ORG,Publishing or owning organization,generalInfo;contacts;relationships;syncIdentifiers;publication,id;type;name;contacts;org_links;external_ids,ORG variant differs from tourism object UX,Drawer fixture and permission-state test
legal_expiring,HOT,Legal compliance with requested and expiring documents,generalInfo;legal,id;type;name;legal_records;legal_compliance,Date/status badges and required docs can be misread,Legal panel unit test and screenshot
moderation_pending,RES,Object with pending changes,generalInfo;publication;descriptions;contacts,id;type;name;is_editing;pending_changes,Diff/review context can be hidden from editors,Publication/moderation panel test
place_scoped_content,LOI,Object with sub-places and place media/descriptions,location;descriptions;media,id;type;places;places.descriptions;media,Place scope can collapse back into object-level only,Parser fixture plus drawer section test
crm_followup_dense,HLO,Provider follow-up with notes interactions and tasks,providerFollowUp;relationships,private_notes;crm_interactions;actors;organizations,Relationship tracking could look like sales CRM,Provider follow-up panel unit test

