schema,table_name,kind,row_estimate,total_size,has_pk,rls_enabled,rls_forced,comment
audit,audit_log,PARTITIONED,17604,0 bytes,t,t,f,Partitioned audit log table tracking all UPDATE and DELETE operations on public tables.
audit,audit_log_2026_03,BASE TABLE,0,40 kB,t,t,f,
audit,audit_log_2026_04,BASE TABLE,13,120 kB,t,t,f,
audit,audit_log_2026_05,BASE TABLE,17591,37 MB,t,t,f,
audit,audit_log_2026_06,BASE TABLE,0,40 kB,t,t,f,
audit,audit_log_2026_07,BASE TABLE,0,40 kB,t,t,f,
audit,audit_log_default,BASE TABLE,0,16 kB,t,t,f,
public,actor,BASE TABLE,696,1264 kB,t,t,f,
public,actor_channel,BASE TABLE,1353,536 kB,t,t,f,
public,actor_consent,BASE TABLE,-1,16 kB,t,t,f,
public,actor_object_role,BASE TABLE,799,280 kB,t,t,f,
public,app_branding_settings,BASE TABLE,-1,32 kB,t,t,f,"Singleton table storing white-label branding, colors, logo reference, and map marker styles for the UI."
public,app_user_profile,BASE TABLE,-1,96 kB,t,t,f,
public,audit_criteria,BASE TABLE,-1,32 kB,t,t,f,
public,audit_result,BASE TABLE,-1,24 kB,t,t,f,
public,audit_session,BASE TABLE,-1,24 kB,t,t,f,
public,audit_template,BASE TABLE,-1,40 kB,t,t,f,
public,contact_channel,BASE TABLE,1901,1096 kB,t,t,f,
public,crm_interaction,BASE TABLE,3175,2096 kB,t,t,f,
public,crm_task,BASE TABLE,-1,40 kB,t,t,f,
public,i18n_translation,BASE TABLE,48,112 kB,t,t,f,
public,incident_report,BASE TABLE,-1,48 kB,t,t,f,
public,media,BASE TABLE,4014,3120 kB,t,t,f,
public,media_tag,BASE TABLE,-1,24 kB,t,t,f,
public,meeting_room_equipment,BASE TABLE,-1,32 kB,t,t,f,
public,object,BASE TABLE,935,8576 kB,t,t,f,
public,object_act,BASE TABLE,-1,16 kB,t,f,f,
public,object_amenity,BASE TABLE,6207,1888 kB,t,t,f,
public,object_capacity,BASE TABLE,658,296 kB,t,t,f,
public,object_classification,BASE TABLE,230,352 kB,t,t,f,
public,object_description,BASE TABLE,815,8432 kB,t,t,f,
public,object_discount,BASE TABLE,-1,40 kB,t,t,f,
public,object_environment_tag,BASE TABLE,3484,1184 kB,t,t,f,
public,object_external_id,BASE TABLE,838,744 kB,t,t,f,
public,object_fma,BASE TABLE,-1,24 kB,t,t,f,
public,object_fma_occurrence,BASE TABLE,-1,32 kB,t,t,f,
public,object_group_policy,BASE TABLE,-1,24 kB,t,t,f,
public,object_iti,BASE TABLE,-1,48 kB,t,t,f,
public,object_iti_associated_object,BASE TABLE,-1,32 kB,t,t,f,
public,object_iti_info,BASE TABLE,-1,16 kB,t,t,f,
public,object_iti_practice,BASE TABLE,-1,32 kB,t,t,f,
public,object_iti_profile,BASE TABLE,-1,32 kB,t,t,f,
public,object_iti_section,BASE TABLE,-1,24 kB,t,t,f,
public,object_iti_stage,BASE TABLE,-1,40 kB,t,t,f,
public,object_iti_stage_media,BASE TABLE,-1,32 kB,t,t,f,
public,object_language,BASE TABLE,1411,344 kB,t,t,f,
public,object_legal,BASE TABLE,-1,80 kB,t,t,f,"Unified legal records for all object types. Each record represents one legal aspect (permit, license, etc.) for one object."
public,object_location,BASE TABLE,847,1664 kB,t,t,f,
public,object_meeting_room,BASE TABLE,-1,48 kB,t,t,f,
public,object_membership,BASE TABLE,-1,48 kB,t,t,f,
public,object_menu,BASE TABLE,-1,48 kB,t,t,f,
public,object_menu_item,BASE TABLE,-1,32 kB,t,t,f,
public,object_menu_item_allergen,BASE TABLE,-1,24 kB,t,t,f,
public,object_menu_item_cuisine_type,BASE TABLE,-1,24 kB,t,t,f,
public,object_menu_item_dietary_tag,BASE TABLE,-1,24 kB,t,t,f,
public,object_menu_item_media,BASE TABLE,-1,32 kB,t,t,f,
public,object_org_link,BASE TABLE,837,608 kB,t,t,f,
public,object_origin,BASE TABLE,847,304 kB,t,t,f,
public,object_payment_method,BASE TABLE,1604,368 kB,t,t,f,
public,object_pet_policy,BASE TABLE,-1,24 kB,t,t,f,
public,object_place,BASE TABLE,-1,32 kB,t,t,f,
public,object_place_description,BASE TABLE,-1,16 kB,t,t,f,
public,object_price,BASE TABLE,-1,56 kB,t,t,f,
public,object_price_period,BASE TABLE,-1,16 kB,t,t,f,
public,object_private_description,BASE TABLE,-1,40 kB,t,t,f,
public,object_relation,BASE TABLE,-1,24 kB,t,t,f,
public,object_review,BASE TABLE,-1,56 kB,t,t,f,
public,object_room_type,BASE TABLE,-1,48 kB,t,t,f,
public,object_room_type_amenity,BASE TABLE,-1,16 kB,t,t,f,
public,object_room_type_media,BASE TABLE,-1,16 kB,t,t,f,
public,object_sustainability_action,BASE TABLE,51,120 kB,t,t,f,
public,object_sustainability_action_label,BASE TABLE,-1,24 kB,t,t,f,
public,object_taxonomy,BASE TABLE,837,888 kB,t,t,f,
public,object_version,PARTITIONED,-1,0 bytes,t,t,f,
public,object_version_2026_03,BASE TABLE,-1,32 kB,t,t,f,
public,object_version_2026_04,BASE TABLE,-1,96 kB,t,t,f,
public,object_version_2026_05,BASE TABLE,838,1520 kB,t,t,f,
public,object_version_default,BASE TABLE,-1,32 kB,t,t,f,
public,object_zone,BASE TABLE,-1,40 kB,t,t,f,
public,opening_period,BASE TABLE,257,192 kB,t,t,f,
public,opening_schedule,BASE TABLE,257,96 kB,t,t,f,
public,opening_time_frame,BASE TABLE,257,80 kB,t,t,f,
public,opening_time_period,BASE TABLE,257,88 kB,t,t,f,
public,opening_time_period_weekday,BASE TABLE,1051,256 kB,t,t,f,
public,org_config,BASE TABLE,-1,32 kB,t,t,f,
public,org_permission,BASE TABLE,-1,32 kB,t,t,f,
public,pending_change,BASE TABLE,-1,40 kB,t,t,f,
public,promotion,BASE TABLE,-1,40 kB,t,t,f,
public,promotion_object,BASE TABLE,-1,24 kB,t,t,f,
public,promotion_usage,BASE TABLE,-1,32 kB,t,t,f,
public,publication,BASE TABLE,-1,32 kB,t,t,f,
public,publication_object,BASE TABLE,-1,32 kB,t,t,f,
public,ref_actor_role,BASE TABLE,-1,48 kB,t,t,f,
public,ref_amenity,BASE TABLE,136,144 kB,t,t,f,
public,ref_capacity_applicability,BASE TABLE,-1,8192 bytes,t,t,f,
public,ref_capacity_metric,BASE TABLE,-1,48 kB,t,t,f,
public,ref_classification_equivalent_action,BASE TABLE,544,248 kB,t,f,f,
